,na,公告日,次日,涨幅,市值,ROE,扣非归母净利润,毛利率,市盈率(pe),市净率(pb),至今涨幅
002098.XSHE,浔兴股份,2025-04-26,2025-04-28,9.97,32.58,3.84,8.69,39.13,15.01,2.37,-11.05
600828.XSHG,茂业商业,2025-04-28,2025-04-28,10.11,69.45,0.21,2.07,-77.54,-999.7,0.99,-7.82
300718.XSHE,长盛轴承,2025-04-23,2025-04-23,12.58,209.06,3.23,19.29,2.64,90.93,12.6,-4.54
300007.XSHE,汉威科技,2025-04-29,2025-04-29,8.23,118.99,0.6,2.74,59.84,150.38,4.17,-4.09
301261.XSHE,恒工精密,2025-04-29,2025-04-29,10.89,68.17,1.31,8.4,-36.0,116.63,4.44,-3.78
603119.XSHG,浙江荣泰,2025-04-30,2025-04-30,7.04,158.7,3.2,22.35,27.08,65.33,8.41,-2.79
300180.XSHE,华峰超纤,2025-04-23,2025-04-23,8.38,137.54,1.33,5.83,173.47,125.06,2.93,-0.89
300553.XSHE,集智股份,2025-04-26,2025-04-28,7.69,40.73,1.09,12.85,3020.88,164.97,4.94,-0.6
600278.XSHG,东方创业,2025-04-29,2025-04-29,10.03,62.98,0.74,0.81,-11.63,29.77,0.84,0.0
002667.XSHE,威领股份,2025-04-30,2025-04-30,10.01,30.05,-7.08,-57.88,-45.39,-9.48,8.82,1.72
300888.XSHE,稳健医疗,2025-04-29,2025-04-29,7.38,288.78,2.2,10.05,35.26,37.92,2.53,2.78
002627.XSHE,三峡旅游,2025-04-22,2025-04-22,10.02,40.65,0.54,12.36,75.53,32.58,1.31,4.08
603507.XSHG,振江股份,2025-04-30,2025-04-30,10.01,46.22,0.29,0.96,-86.7,37.87,1.86,4.15
002582.XSHE,好想你,2025-04-24,2025-04-24,10.0,47.14,1.11,9.62,227.7,-105.35,1.31,4.3
603065.XSHG,宿迁联盛,2025-04-29,2025-04-29,9.98,36.99,0.38,2.55,-28.71,102.13,1.79,4.87
603136.XSHG,天目湖,2025-04-21,2025-04-21,7.99,34.04,1.03,14.7,11.21,31.64,2.52,4.91
002562.XSHE,兄弟科技,2025-04-26,2025-04-28,7.98,50.42,0.67,2.28,182.95,58.0,1.61,5.1
600726.XSHG,华电能源,2025-04-25,2025-04-25,10.13,188.99,12.01,13.44,-1.7,85.83,4.47,5.29
603351.XSHG,威尔药业,2025-04-22,2025-04-22,10.0,37.94,2.13,10.23,6.71,25.56,2.18,6.1
603938.XSHG,三孚股份,2025-04-29,2025-04-29,9.98,52.92,1.11,5.45,253.09,65.89,2.16,6.14
600866.XSHG,星湖科技,2025-04-22,2025-04-22,10.04,126.94,5.83,11.8,88.02,10.89,1.51,6.56
002201.XSHE,九鼎新材,2025-04-30,2025-04-30,9.97,41.18,1.49,5.61,84.89,111.03,3.7,6.76
300573.XSHE,兴齐眼药,2025-04-29,2025-04-29,14.14,133.05,8.75,27.21,319.86,29.62,7.63,6.77
000885.XSHE,城发环境,2025-04-25,2025-04-25,8.33,88.22,3.17,19.36,19.08,7.4,1.01,6.93
300989.XSHE,蕾奥规划,2025-04-28,2025-04-28,7.79,35.42,0.39,4.13,-10.32,-78.73,3.59,6.96
603809.XSHG,豪能股份,2025-04-30,2025-04-30,8.72,120.03,3.38,16.74,30.27,34.68,3.92,7.3
600774.XSHG,汉商集团,2025-04-30,2025-04-30,10.05,25.9,0.17,0.48,-87.24,-105.74,1.56,7.6
603286.XSHG,日盈电子,2025-04-29,2025-04-29,9.98,36.41,-0.85,-2.35,-181.66,-1947.09,4.18,7.75
002034.XSHE,旺能环境,2025-04-30,2025-04-30,10.0,75.9,2.96,23.19,17.05,13.08,1.13,7.96
002386.XSHE,天原股份,2025-04-25,2025-04-25,9.95,60.79,0.15,0.18,309.35,-13.37,0.81,8.1
603205.XSHG,健尔康,2025-04-23,2025-04-23,10.01,46.92,2.01,11.96,15.42,37.82,3.24,8.16
002908.XSHE,德生科技,2025-04-26,2025-04-28,10.08,40.86,0.58,4.85,-21.11,204.06,3.62,8.48
301022.XSHE,海泰科,2025-04-24,2025-04-24,14.03,23.56,1.32,7.24,5738.82,80.05,2.42,8.68
002440.XSHE,闰土股份,2025-04-29,2025-04-29,10.01,81.94,0.51,3.86,612.07,31.52,0.87,8.97
600184.XSHG,光电股份,2025-04-29,2025-04-29,7.1,69.75,0.04,0.39,112.91,-35.62,2.96,9.33
603590.XSHG,康辰药业,2025-04-26,2025-04-28,7.43,49.88,1.41,22.71,2.76,110.69,1.58,9.67
002553.XSHE,南方精工,2025-04-30,2025-04-30,9.99,75.72,7.76,49.97,630.37,58.04,6.19,9.84
301603.XSHE,乔锋智能,2025-04-25,2025-04-25,11.36,59.12,3.55,15.61,49.39,25.89,2.76,10.17
002293.XSHE,罗莱生活,2025-04-25,2025-04-25,7.23,73.98,2.66,10.35,26.56,16.21,1.72,10.6
601566.XSHG,九牧王,2025-04-25,2025-04-25,10.04,53.21,4.74,21.67,75.83,20.48,1.29,10.63
301210.XSHE,金杨股份,2025-04-25,2025-04-25,8.04,54.95,0.51,3.88,-11.24,100.49,3.01,12.06
600592.XSHG,龙溪股份,2025-04-30,2025-04-30,10.0,91.34,1.21,7.35,-12.43,76.18,3.67,12.06
002261.XSHE,拓维信息,2025-04-25,2025-04-25,10.01,390.03,2.61,10.08,1665.13,-946.62,15.38,12.26
301397.XSHE,溯联股份,2025-04-25,2025-04-25,9.33,41.69,1.7,9.86,2.93,33.75,2.1,12.27
300040.XSHE,九洲集团,2025-04-25,2025-04-25,19.97,44.08,0.95,7.88,-6.09,-8.07,1.88,12.29
301118.XSHE,恒光股份,2025-04-21,2025-04-21,10.25,23.23,0.31,1.57,137.04,-55.5,1.73,12.33
002943.XSHE,宇晶股份,2025-04-25,2025-04-25,9.99,53.15,-4.7,-34.78,-246.97,-11.95,6.46,13.13
003037.XSHE,三和管桩,2025-04-29,2025-04-29,10.03,42.59,1.25,2.44,409.03,60.24,1.53,13.22
600336.XSHG,澳柯玛,2025-04-30,2025-04-30,7.98,55.54,1.68,1.87,20.65,-141.92,2.24,13.36
600983.XSHG,惠而浦,2025-04-25,2025-04-25,10.01,79.86,4.24,9.54,1029.06,25.98,2.86,13.38
301526.XSHE,国际复材,2025-04-29,2025-04-29,12.35,142.16,0.66,3.37,188.47,-61.07,1.78,13.55
603855.XSHG,华荣股份,2025-04-29,2025-04-29,8.35,70.34,5.33,14.89,40.62,14.26,3.14,13.69
002422.XSHE,科伦药业,2025-04-30,2025-04-30,9.99,598.79,2.56,15.03,-48.7,24.01,2.59,13.82
600396.XSHG,华电辽能,2025-04-25,2025-04-25,9.85,45.95,10.35,15.7,54.99,43.28,3.1,13.87
603280.XSHG,南方路机,2025-04-25,2025-04-25,10.0,27.91,0.82,8.04,22.81,30.08,2.11,13.94
600578.XSHG,京能电力,2025-04-26,2025-04-28,9.9,293.22,3.71,13.01,127.68,12.62,1.3,14.06
300569.XSHE,天能重工,2025-04-24,2025-04-24,13.84,52.36,0.86,8.21,5.57,-20.21,1.01,14.29
301591.XSHE,肯特股份,2025-04-28,2025-04-28,12.96,33.0,2.44,18.99,26.68,43.09,3.68,14.47
002335.XSHE,科华数据,2025-04-26,2025-04-28,7.55,224.21,1.3,5.9,-6.8,72.19,3.79,14.47
300317.XSHE,珈伟新能,2025-04-26,2025-04-28,9.25,32.96,0.16,1.09,108.04,-13.06,2.06,14.74
002901.XSHE,大博医疗,2025-04-30,2025-04-30,10.01,157.78,3.29,20.45,67.47,39.63,4.94,14.89
300867.XSHE,圣元环保,2025-04-29,2025-04-29,8.39,50.35,1.72,17.51,43.17,25.01,1.35,15.09
300386.XSHE,飞天诚信,2025-04-24,2025-04-24,7.33,80.18,1.3,10.54,317.74,-162.54,5.39,15.2
300266.XSHE,兴源环境,2025-04-28,2025-04-28,7.46,48.01,-33.04,-16.88,-17.28,-15.58,73.46,15.3
300690.XSHE,双一科技,2025-04-19,2025-04-21,10.61,38.1,2.04,15.64,911.54,33.65,2.54,15.32
301119.XSHE,正强股份,2025-04-29,2025-04-29,8.2,43.25,3.63,36.49,100.98,39.37,4.07,15.56
300994.XSHE,久祺股份,2025-04-24,2025-04-24,20.03,37.46,3.45,5.78,89.11,26.36,3.11,15.78
300254.XSHE,仟源医药,2025-04-19,2025-04-21,10.14,24.73,3.45,10.56,-23.05,72.11,9.51,16.08
603456.XSHG,九洲药业,2025-04-15,2025-04-15,10.04,132.49,2.89,16.77,5.81,21.39,1.51,16.08
301076.XSHE,新瀚新材,2025-04-26,2025-04-28,12.38,47.73,1.4,13.99,47.85,77.98,4.1,16.21
002769.XSHE,普路通,2025-04-28,2025-04-28,10.06,29.34,2.65,13.1,196.72,-92.31,2.49,16.27
003006.XSHE,百亚股份,2025-04-19,2025-04-21,9.98,132.47,8.62,13.12,27.27,41.97,8.38,16.6
300279.XSHE,和晶科技,2025-04-19,2025-04-21,9.67,32.53,3.87,8.33,370.56,39.5,3.22,16.87
603883.XSHG,老百姓,2025-04-30,2025-04-30,9.99,162.81,3.74,5.29,-21.45,36.31,2.38,16.92
301196.XSHE,唯科科技,2025-04-29,2025-04-29,16.78,87.51,2.45,14.96,106.47,33.67,2.73,16.96
600986.XSHG,浙文互联,2025-04-30,2025-04-30,10.01,126.87,2.13,5.46,339.06,52.36,2.44,17.01
002852.XSHE,道道全,2025-04-29,2025-04-29,10.06,35.26,4.74,7.23,42.32,17.15,1.59,17.14
300528.XSHE,幸福蓝海,2025-04-25,2025-04-25,11.17,35.66,12.42,21.84,611.79,-27.26,5.91,17.42
601003.XSHG,柳钢股份,2025-04-29,2025-04-29,10.1,89.44,3.06,2.71,1110.78,-42.62,1.04,17.51
601218.XSHG,吉鑫科技,2025-04-25,2025-04-25,10.0,35.37,1.47,12.42,241.23,58.83,1.23,17.74
002996.XSHE,顺博合金,2025-04-25,2025-04-25,10.02,48.07,3.6,3.37,127.2,36.99,1.52,17.9
000698.XSHE,沈阳化工,2025-04-24,2025-04-24,7.65,31.63,2.32,2.83,290.88,-26.67,2.24,18.04
301318.XSHE,维海德,2025-04-23,2025-04-23,13.14,42.63,2.28,22.27,96.04,29.47,2.27,18.08
300541.XSHE,先进数通,2025-04-28,2025-04-28,9.14,60.59,1.78,5.56,1068.51,85.24,3.62,18.11
603030.XSHG,全筑股份,2025-04-30,2025-04-30,10.0,37.4,-2.05,-8.2,34.39,-36.36,4.04,18.33
002164.XSHE,宁波东力,2025-04-29,2025-04-29,9.96,46.83,1.15,4.72,114.6,86.01,3.37,18.44
603918.XSHG,金桥信息,2025-04-19,2025-04-21,10.0,64.76,-2.21,-25.36,17.0,-120.69,6.32,18.59
600463.XSHG,空港股份,2025-04-30,2025-04-30,10.01,30.21,0.38,-0.29,98.14,-34.97,3.06,18.61
002568.XSHE,百润股份,2025-04-29,2025-04-29,9.96,294.98,3.8,24.61,8.05,40.35,6.29,18.61
300571.XSHE,平治信息,2025-04-29,2025-04-29,20.0,44.8,0.73,3.1,193.06,-41.39,3.08,18.71
300531.XSHE,优博讯,2025-04-26,2025-04-28,8.4,55.14,1.57,6.0,1055.63,-42.05,4.06,18.74
001316.XSHE,润贝航科,2025-04-30,2025-04-30,10.0,34.79,2.82,14.24,70.53,34.01,2.84,18.85
301069.XSHE,凯盛新材,2025-04-19,2025-04-21,7.03,66.17,1.86,11.38,19.74,108.54,4.39,18.9
002353.XSHE,杰瑞股份,2025-04-23,2025-04-23,7.62,357.94,2.17,17.79,24.65,13.17,1.65,18.91
600550.XSHG,保变电气,2025-04-11,2025-04-11,10.01,164.08,4.6,2.41,367.9,133.9,26.03,18.96
002983.XSHE,芯瑞达,2025-04-23,2025-04-23,9.99,44.83,3.4,18.07,32.83,34.62,3.25,19.45
603489.XSHG,八方股份,2025-04-30,2025-04-30,10.01,68.55,0.82,7.26,32.11,99.13,2.57,19.65
300078.XSHE,思创医惠,2025-04-30,2025-04-30,7.21,42.7,-3.45,-4.75,71.66,-9.42,7.69,19.75
600678.XSHG,四川金顶,2025-04-26,2025-04-28,10.0,28.86,7.59,13.84,316.95,484.82,11.4,19.86
600149.XSHG,廊坊发展,2025-04-26,2025-04-28,9.95,20.15,2.99,23.29,47.62,22.86,8.42,19.91
000720.XSHE,新能泰山,2025-04-28,2025-04-28,10.14,43.1,0.69,5.72,256.16,-41.14,1.81,19.93
603313.XSHG,梦百合,2025-04-29,2025-04-29,10.04,47.7,1.6,2.59,146.11,-42.39,1.29,19.94
301131.XSHE,聚赛龙,2025-04-29,2025-04-29,20.01,21.95,1.8,3.76,6.04,55.12,2.57,20.14
002382.XSHE,蓝帆医疗,2025-04-29,2025-04-29,10.02,54.79,0.94,5.58,183.59,-20.32,0.68,21.16
301396.XSHE,宏景科技,2025-04-29,2025-04-29,7.99,100.69,1.8,4.41,329.57,-224.79,8.28,21.33
603359.XSHG,东珠生态,2025-04-29,2025-04-29,10.03,34.13,-0.01,-0.56,-120.45,-5.39,1.28,21.82
002587.XSHE,奥拓电子,2025-04-29,2025-04-29,10.14,40.72,1.03,6.89,13508.73,-159.48,3.06,21.83
600067.XSHG,冠城新材,2025-04-30,2025-04-30,7.08,40.78,0.59,2.27,13.88,-6.26,0.69,22.08
301566.XSHE,达利凯普,2025-04-18,2025-04-18,20.01,66.44,3.75,51.07,75.79,48.86,4.75,22.22
002730.XSHE,电光科技,2025-04-30,2025-04-30,10.04,63.07,1.28,8.83,-1.18,68.02,3.87,22.25
600589.XSHG,大位科技,2025-04-26,2025-04-28,10.06,115.32,7.38,49.75,1084.4,467.23,16.08,22.64
300494.XSHE,盛天网络,2025-04-28,2025-04-28,9.47,64.26,1.75,8.08,78.56,-25.77,4.39,22.77
002780.XSHE,三夫户外,2025-04-26,2025-04-28,10.03,20.5,1.88,5.99,682.16,-221.49,3.02,23.08
301105.XSHE,鸿铭股份,2025-04-19,2025-04-21,7.26,17.72,0.48,8.57,-7.25,-175.74,2.09,23.1
002727.XSHE,一心堂,2025-04-28,2025-04-28,7.16,94.69,2.14,3.45,-33.31,293.26,1.26,23.15
301230.XSHE,泓博医药,2025-04-29,2025-04-29,9.85,45.99,1.15,7.07,226.47,181.15,4.4,23.36
301149.XSHE,隆华新材,2025-04-19,2025-04-21,9.31,50.14,2.93,3.78,19.52,27.74,2.54,23.39
301103.XSHE,何氏眼科,2025-04-25,2025-04-25,15.08,36.16,1.72,10.52,12.79,-151.65,1.89,23.68
002121.XSHE,科陆电子,2025-04-15,2025-04-15,10.07,83.71,12.61,6.55,308.47,-20.74,14.66,23.83
603087.XSHG,甘李药业,2025-04-25,2025-04-25,10.0,338.58,2.79,31.67,224.9,40.76,2.99,24.4
603639.XSHG,海利尔,2025-04-29,2025-04-29,7.88,49.46,3.02,8.3,15.64,25.29,1.4,24.57
603028.XSHG,赛福天,2025-04-25,2025-04-25,10.09,20.93,0.21,-2.62,53.28,-11.5,4.09,24.62
002513.XSHE,蓝丰生化,2025-04-29,2025-04-29,9.93,18.88,-98.31,-6.74,13.72,-7.73,150.62,24.81
603113.XSHG,金能科技,2025-04-28,2025-04-28,9.93,58.68,0.87,1.7,412.34,138.46,0.69,24.91
600389.XSHG,江山股份,2025-04-22,2025-04-22,7.97,82.43,4.1,8.91,83.05,27.69,2.13,25.02
001298.XSHE,好上好,2025-04-25,2025-04-25,10.01,62.28,1.11,0.99,273.64,144.71,3.91,25.03
300533.XSHE,冰川网络,2025-04-29,2025-04-29,7.08,60.73,13.86,29.63,143.59,15.69,4.17,25.61
301258.XSHE,富士莱,2025-04-22,2025-04-22,20.01,27.98,1.26,21.17,313.65,80.96,1.46,25.91
600337.XSHG,美克家居,2025-04-30,2025-04-30,9.83,31.33,3.77,14.72,168.95,-5.2,1.1,26.01
605069.XSHG,正和生态,2025-04-30,2025-04-30,10.01,23.52,4.7,57.37,12.69,-14.64,2.57,26.39
300473.XSHE,德尔股份,2025-04-29,2025-04-29,8.52,47.54,1.44,1.91,431.1,96.79,2.98,26.52
300471.XSHE,厚普股份,2025-04-23,2025-04-23,7.04,41.51,0.55,5.42,132.5,-75.18,3.6,26.79
600771.XSHG,广誉远,2025-04-25,2025-04-25,10.01,107.15,3.97,15.73,32.25,110.77,6.56,27.42
300485.XSHE,赛升药业,2025-04-24,2025-04-24,8.92,48.36,1.18,42.09,120.25,29.9,1.42,27.9
000665.XSHE,湖北广电,2025-04-30,2025-04-30,10.04,65.27,-2.55,-27.42,-13.14,-8.11,1.52,28.12
600793.XSHG,宜宾纸业,2025-04-30,2025-04-30,10.0,51.39,6.99,6.97,321.59,-42.68,21.61,28.6
301248.XSHE,杰创智能,2025-04-21,2025-04-21,7.54,37.97,0.92,7.77,1370.52,-56.09,2.54,29.25
600744.XSHG,华银电力,2025-04-24,2025-04-24,10.0,92.42,4.71,3.53,758.32,-207.0,8.09,30.0
603716.XSHG,塞力医疗,2025-04-29,2025-04-29,10.05,23.27,-1.54,-4.09,-182.07,-10.26,2.74,30.27
600743.XSHG,华远控股,2025-04-30,2025-04-30,10.06,51.85,-2.12,-19.72,89.3,-4.02,7.91,30.77
603586.XSHG,金麒麟,2025-04-26,2025-04-28,10.02,34.54,3.26,14.43,332.77,23.05,1.48,32.68
603616.XSHG,韩建河山,2025-04-30,2025-04-30,10.03,16.59,1.64,3.29,133.17,-7.69,6.99,32.92
002891.XSHE,中宠股份,2025-04-24,2025-04-24,10.01,194.72,3.66,9.3,57.37,45.42,7.64,33.02
300695.XSHE,兆丰股份,2025-04-29,2025-04-29,20.02,57.11,1.22,20.52,39.22,39.39,2.2,33.58
300973.XSHE,立高食品,2025-04-29,2025-04-29,15.98,84.67,3.41,8.2,12.83,30.29,3.56,34.48
301509.XSHE,金凯生科,2025-04-24,2025-04-24,20.04,42.2,2.18,26.89,183.24,60.91,1.92,35.03
300911.XSHE,亿田智能,2025-04-29,2025-04-29,14.71,72.88,-3.06,-74.06,-1042.01,-353.23,5.55,35.11
002821.XSHE,凯莱英,2025-04-24,2025-04-24,10.01,326.81,1.92,21.06,16.11,32.89,1.9,35.15
301372.XSHE,科净源,2025-04-29,2025-04-29,12.65,15.02,1.44,17.25,156.81,-15.01,1.92,35.25
002355.XSHE,兴民智通,2025-04-30,2025-04-30,10.02,47.91,10.3,60.32,1667.73,15.62,3.47,35.68
600939.XSHG,重庆建工,2025-04-30,2025-04-30,10.0,69.8,-0.55,-0.6,-190.01,-13.32,0.9,35.93
603839.XSHG,安正时尚,2025-04-30,2025-04-30,10.1,27.93,1.23,3.89,259.59,-32.04,1.48,36.76
002546.XSHE,新联电子,2025-04-30,2025-04-30,10.0,50.21,3.19,60.5,713.48,12.85,1.47,36.82
300824.XSHE,北鼎股份,2025-04-24,2025-04-24,10.42,41.58,4.63,15.7,47.71,51.78,5.64,36.84
002418.XSHE,康盛股份,2025-04-25,2025-04-25,9.85,42.62,0.88,1.5,368.63,-48.36,2.97,36.86
603086.XSHG,先达股份,2025-04-23,2025-04-23,9.97,39.44,1.1,3.92,254.44,411.68,1.98,37.01
002286.XSHE,保龄宝,2025-04-30,2025-04-30,10.02,42.93,2.44,7.35,117.35,31.03,2.06,38.54
603680.XSHG,今创集团,2025-04-29,2025-04-29,10.06,90.21,2.77,13.73,260.62,22.11,1.65,39.52
605599.XSHG,菜百股份,2025-04-29,2025-04-29,10.0,133.7,7.67,3.95,18.71,17.45,3.07,39.76
002055.XSHE,得润电子,2025-04-29,2025-04-29,9.92,40.92,2.35,3.11,153.14,-3.51,2.96,39.88
603173.XSHG,福斯达,2025-04-22,2025-04-22,10.0,57.14,6.87,19.48,76.26,18.36,3.28,40.59
600562.XSHG,国睿科技,2025-04-19,2025-04-21,10.01,324.87,1.25,20.77,-34.82,55.1,5.34,40.8
002491.XSHE,通鼎互联,2025-04-30,2025-04-30,10.02,73.55,5.04,19.82,574.11,31.14,2.75,42.72
603040.XSHG,新坐标,2025-04-29,2025-04-29,10.01,56.1,4.8,38.05,37.72,24.4,3.92,43.32
600105.XSHG,永鼎股份,2025-04-22,2025-04-22,9.91,118.28,8.96,32.53,798.74,36.52,3.51,45.77
300157.XSHE,新锦动力,2025-04-26,2025-04-28,19.92,28.29,76.18,90.48,292.78,-45.41,-12.25,46.62
300548.XSHE,博创科技,2025-04-29,2025-04-29,20.01,161.08,5.24,28.68,1090.94,99.59,9.65,49.54
002915.XSHE,中欣氟材,2025-04-22,2025-04-22,9.99,60.54,0.24,1.86,-16.43,-32.73,4.65,51.1
603955.XSHG,大千生态,2025-04-30,2025-04-30,9.98,46.61,0.16,28.41,-48.72,205.25,2.98,51.68
002229.XSHE,鸿博股份,2025-04-25,2025-04-25,10.05,82.02,6.53,12.69,633.75,-44.65,6.13,52.35
301260.XSHE,格力博,2025-04-29,2025-04-29,7.62,97.55,3.91,11.59,36.99,71.8,2.06,52.6
002365.XSHE,永安药业,2025-04-29,2025-04-29,9.97,58.88,-0.22,-3.91,-123.51,205.01,2.98,53.22
600281.XSHG,华阳新材,2025-04-26,2025-04-28,9.91,26.34,89.37,106.93,482.0,-42.84,16.45,53.75
002345.XSHE,潮宏基,2025-04-29,2025-04-29,10.05,128.3,5.21,8.43,43.91,50.97,3.45,54.44
601579.XSHG,会稽山,2025-04-29,2025-04-29,9.99,105.96,2.5,19.46,1.09,53.58,2.79,60.03
301317.XSHE,鑫磊股份,2025-04-23,2025-04-23,9.96,53.87,31.63,307.76,3229.18,12.43,3.74,65.64
603123.XSHG,翠微股份,2025-04-30,2025-04-30,10.05,104.39,-3.91,-14.91,24.62,-15.85,5.08,70.63
300502.XSHE,新易盛,2025-04-23,2025-04-23,12.46,989.65,17.23,38.81,384.54,24.22,9.97,72.63
600610.XSHG,中毅达,2025-04-26,2025-04-28,9.98,171.4,18.68,5.09,232.42,1702.24,211.59,77.38
002298.XSHE,中电鑫龙,2025-04-25,2025-04-25,10.11,58.84,2.07,11.27,45.08,-3.82,2.85,78.65
600735.XSHG,新华锦,2025-04-30,2025-04-30,10.06,39.7,0.52,3.14,-38.83,-29.45,3.28,79.11
603900.XSHG,莱绅通灵,2025-04-30,2025-04-30,10.0,38.08,1.47,7.59,249.5,-27.74,1.96,81.97
000565.XSHE,渝三峡A,2025-04-25,2025-04-25,10.1,41.97,0.42,7.12,-53.16,-2636.47,3.37,87.96
301209.XSHE,联合化学,2025-04-28,2025-04-28,20.01,104.15,2.24,12.72,17.97,176.67,13.95,88.74
300945.XSHE,曼卡龙,2025-04-26,2025-04-28,15.1,60.67,2.63,6.02,33.52,56.74,3.66,88.98
002471.XSHE,中超控股,2025-04-30,2025-04-30,10.0,77.62,-1.17,-2.02,19.99,-506.25,4.48,110.0
300879.XSHE,大叶股份,2025-04-29,2025-04-29,19.99,87.58,14.97,12.79,326.94,53.13,6.26,114.1
